10021,ΓΣ,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ   
10431,ΓΛ,ΠΛ.ΟΜΟΝΟΙΑΣ (ΑΘΗΝΑ) 
10432,ΓΛ,ΠΛ.ΒΑΘΗΣ-ΠΛ.ΒΙΚΤΩΡΙΑ
10433,ΓΛ,ΠΟΛΥΤΕΧΝΕΙΟ  (ΑΘΗΝΑ)
10434,ΓΛ,ΠΛ.ΒΙΚΤΩΡΙΑΣ (ΑΘΗΝΑ)
10435,ΑΘ,ΜΕΤΑΞΟΥΡΓΕΙΟ (ΑΘΗΝΑ)
10436,ΑΘ,ΠΛ.ΟΜΟΝΟΙΑΣ         
10437,ΑΘ,ΠΛ.ΟΜΟΝΟΙΑΣ         
10438,ΓΛ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ     
10439,ΓΛ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ     
10440,ΓΛ,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ     
10441,ΒΧ,ΚΟΛΩΝΟΣ             
10442,ΒΧ,ΚΟΛΩΝΟΣ             
10443,ΒΧ,ΣΕΠΟΛΙΑ             
10444,ΒΧ,ΚΟΛΩΝΟΣ             
10445,ΓΛ,ΤΡΕΙΣ ΓΕΦΥΡΕΣ (ΑΘΗΝΑ
10446,ΓΛ,ΠΛ.ΑΜΕΡΙΚΗΣ-ΚΥΨΕΛΗ  
10447,ΒΤ,ΑΘΗΝΑ- ΒΟΤΑΝΙΚΟΣ    
10551,ΓΣ,ΠΛ.ΚΛΑΥΘΜΩΝΟΣ       
10552,ΑΘ,ΠΛ.ΟΜΟΝΟΙΑ-ΜΟΝΑΣΤΗΡΑ
10553,ΑΘ,ΚΕΡΑΜΕΙΚΟΣ (ΑΘΗΝΑ)  
10554,ΑΘ,ΨΥΡΡΗ  (ΑΘΗΝΑ)      
10555,ΓΣ,ΜΟΝΑΣΤΗΡΑΚΙ         
10556,ΓΣ,ΠΛ.ΜΗΤΡΟΠΟΛΕΩΣ      
10557,ΓΣ,ΠΛ.ΣΥΝΤΑΓΜΑΤΟΣ      
10558,ΓΣ,ΠΛΑΚΑ-ΘΗΣΕΙΟ        
10559,ΓΣ,ΠΛ.ΚΛΑΥΘΜΩΝΟΣ       
10560,ΓΣ,ΧΡΥΣΟΣΠΗΛΙΩΤΙΣΣΑ    
